,total_agr_land,workforce,trees,arable_land,ley,perm_grass,perm_crops,prot_cult,oth_land,qual_landscape,spec_crops,grapes,vegetables,fruits,oth_spec_crops,animal_unit,cattle_animal_unit,dairy_cows,suckler_cows,hor_shee_goa,pigs_poultry,pigs,poultry,eco_proof,organic,farmtype,region,age,educ,cons_general,percep_hail,percep_drought,percep_frost,percep_heavyrain,percep_longrain,percep_heat,cons_farm,self_reduc,self_act,self_cap,self_conf,self_not,plough,plough_eff,plough_imag,activ_dairy,activ_cattle,activ_pig,activ_poultry,activ_arab,activ_special,activ_nonag,attain_ghg,attain_yield,attain_biodiv,attain_soil,attain_incom,attain_acknow,innov_pion,innov_early,innov_thorou,innov_others,innov_trad,satisf_ldw,thresh_ldw,satisf_total,thresh_total,share,others_opinions,soc_impr,soc_inc,soc_env,lott_1,lott_2,lott_3,network,GHG_goal,env_goal,biodiv_goal,acknow_goal,yield_goal,income_goal
10,3650.0,4.25366,50,2207,866,547,12,0,335,0,0,0,320,0,12,124.9788,40.8588,0.0,24.0137,0.0,84.12,0.0,84.12,1.0,0.0,0,4,36.0,1,4,1,2,1,2,1,2,4,3,2,2,4,3,2,2.0,0.0,4,2,4,1,1,2,3,3,4,4,5,4,4,1,3,4,3,2,3,5,3,3,4,3,1,3,3,8,10,4,5,2,6,3,1,4,5
11,5107.0,4.11218,59,1879,1101,1941,0,0,575,0,5,0,5,0,0,69.3598,69.3598,63.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,41.0,1,4,1,2,1,3,2,2,4,5,3,4,3,5,2,3.0,0.0,3,1,5,5,1,2,1,4,3,5,5,5,2,4,5,4,1,5,5,11,5,11,4,1,1,4,5,6,2,2,1,3,5,4,1,2,6
12,120.0,2.12568,24,3559,381,113,0,0,791,0,409,0,409,0,0,1.29,0.0,0.0,0.0,1.19,0.1,0.0,0.1,1.0,0.0,2,0,47.0,2,4,1,2,1,2,2,2,4,4,5,1,5,5,2,4.0,1.0,5,1,5,2,1,5,1,5,3,4,3,2,4,5,5,1,5,5,2,7,4,7,3,1,1,1,1,6,12,7,9,3,5,4,1,2,6
13,2831.0,1.44539,108,1610,601,620,0,0,378,0,0,0,0,0,0,26.5582,26.5582,0.0,21.2849,0.0,0.0,0.0,0.0,1.0,0.0,0,2,60.0,1,4,1,2,1,1,2,2,4,2,2,1,3,2,2,3.0,1.0,2,3,5,4,1,4,2,4,3,5,4,4,4,2,2,1,4,3,4,6,5,6,3,2,1,4,3,13,10,1,1,2,3,5,1,6,4
14,3813.0,1.75223,153,2605,143,933,88,0,1274,0,88,83,364,5,0,12.6439,12.6439,10.0356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,60.0,1,4,1,2,2,1,2,2,4,2,1,2,3,2,1,4.0,,3,3,5,3,1,1,1,5,3,5,5,5,3,4,2,3,3,4,4,6,5,5,3,2,1,2,3,6,8,8,10,3,5,6,1,2,4
15,4424.0,3.02111,65,2813,623,935,0,0,756,0,0,0,0,0,0,4.854,0.0,0.0,0.0,4.854,0.0,0.0,0.0,1.0,0.0,2,0,39.0,1,5,2,2,2,2,1,2,4,5,5,3,5,5,2,3.0,1.0,2,5,5,5,1,2,4,4,2,3,3,2,4,3,4,3,4,5,3,5,3,2,4,3,3,3,4,10,9,5,2,4,5,6,3,1,2
16,1734.0,1.0049,24,1565,0,156,0,0,365,0,0,0,0,0,0,21.8724,21.8724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,43.0,2,4,2,2,2,1,1,2,4,2,4,1,3,3,2,2.0,0.0,5,1,3,3,1,2,1,4,4,3,4,2,3,2,4,4,4,5,3,6,4,5,3,5,2,4,4,9,11,5,3,3,6,2,1,5,4
17,3005.0,1.63988,9,2249,25,401,308,0,130,0,308,168,0,0,140,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1,1,31.0,1,4,1,2,2,2,2,2,4,2,2,1,2,2,2,2.0,0.0,5,5,5,3,1,1,1,5,3,5,4,1,3,2,4,3,1,3,2,5,3,3,4,4,1,2,4,7,9,3,5,2,6,4,1,5,3
18,1465.0,1.02664,128,713,243,479,10,0,688,0,10,10,0,0,0,14.8976,12.1136,12.0,0.0,2.56,0.224,0.0,0.224,1.0,0.0,0,1,53.0,1,2,1,2,1,1,1,2,2,4,4,5,5,3,2,2.0,0.0,1,3,1,1,1,1,1,5,4,5,5,2,3,5,4,3,4,4,1,3,2,2,2,3,2,4,5,15,15,8,10,4,5,6,1,2,3
19,2071.0,1.56592,25,660,367,998,26,0,168,0,26,0,0,26,26,26.9202,24.2702,23.1096,0.0,2.45,0.2,0.0,0.2,1.0,0.0,0,4,60.0,1,4,2,2,1,1,1,2,4,2,2,1,2,2,2,1.0,0.0,3,3,5,3,2,2,3,4,2,4,4,3,3,1,2,2,3,2,3,5,3,2,4,1,1,1,1,2,15,8,2,2,4,6,1,3,5
20,1843.0,5.39303,14,66,0,52,1708,0,55,0,1657,0,0,324,1698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,4,,1,3,2,2,1,1,1,2,3,3,3,3,2,4,2,1.0,0.0,5,5,5,5,3,1,3,4,4,4,4,4,4,3,3,3,4,4,3,4,3,2,4,3,3,4,3,4,10,3,1,2,3,6,1,4,5
21,6516.0,4.72324,82,3395,1386,1159,0,0,282,0,0,0,0,0,0,84.8934,82.6734,71.8274,0.0,2.1,0.12,0.0,0.12,1.0,0.0,0,1,,1,4,1,2,1,2,2,2,4,5,5,2,5,5,2,3.0,0.0,1,5,5,5,1,3,3,4,4,4,5,4,3,3,5,3,5,5,3,8,3,5,4,2,1,4,5,15,15,8,6,2,5,4,1,3,6
22,188.0,1.24984,6,0,0,32,156,0,0,0,156,156,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,52.0,1,4,3,2,2,3,1,2,4,1,2,1,3,2,3,3.0,,4,2,5,4,2,2,2,4,3,4,4,1,3,3,4,5,3,3,2,3,4,3,1,4,1,4,3,6,13,4,5,3,6,4,1,2,5
23,96.0,0.26794,2,0,0,14,82,0,0,0,82,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,45.0,3,5,1,2,2,2,2,2,5,3,3,2,4,4,1,2.0,,1,1,2,2,1,2,2,4,2,3,5,1,3,4,4,4,4,4,2,3,3,5,1,3,2,4,4,7,12,6,10,3,6,5,2,1,4
24,2340.0,1.00751,48,1949,0,247,138,0,417,0,138,85,0,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,58.0,1,4,3,2,1,1,2,2,4,2,3,2,2,4,1,3.0,,4,4,5,5,1,1,2,5,2,3,5,4,4,3,3,4,4,4,4,8,4,7,4,2,1,4,2,6,8,2,4,6,2,4,1,5,3
25,1944.0,1.34191,27,965,389,534,1,0,446,0,2,0,1,1,1,24.6765,23.2565,20.0274,0.0,0.0,1.42,1.02,0.4,1.0,0.0,0,0,56.0,2,4,1,2,1,2,2,2,4,3,3,1,3,1,2,1.0,0.0,1,5,3,5,1,1,1,3,1,3,4,1,1,3,3,3,4,4,2,5,5,7,2,4,1,3,3,10,5,4,7,1,5,4,6,2,3
26,960.0,0.30216,45,748,0,205,7,0,649,0,7,0,0,7,0,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.35,1.0,0.0,1,1,65.0,1,4,2,3,1,2,2,3,3,1,1,3,4,1,2,1.0,0.0,4,1,5,2,1,1,2,1,3,3,5,3,4,1,1,2,2,2,2,2,4,4,1,2,2,4,2,4,8,4,6,2,5,4,1,3,6
27,1892.0,0.98266,22,1074,272,497,0,0,108,0,0,0,261,0,0,20.5339,20.5339,1.0,15.1863,0.0,0.0,0.0,0.0,1.0,0.0,0,2,65.0,1,4,1,2,1,2,3,3,4,1,2,2,2,4,2,2.0,0.0,5,2,5,5,1,1,3,3,3,3,5,3,5,1,3,4,2,3,2,6,3,3,3,1,1,1,2,4,15,8,10,2,3,4,1,5,6
28,1235.0,5.33659,64,68,117,294,700,0,13,0,700,675,0,25,0,8.72,0.0,0.0,0.0,8.66,0.06,0.0,0.06,1.0,1.0,0,4,,4,5,3,3,3,3,2,3,4,5,5,4,4,5,1,3.0,,5,5,5,3,1,1,1,5,3,4,4,3,2,5,5,2,4,5,3,7,4,8,3,3,2,5,5,6,6,5,8,4,6,5,2,1,3
29,2143.0,1.35908,72,563,825,685,4,0,415,0,4,0,0,4,0,26.6463,26.6463,0.0,17.3096,0.0,0.0,0.0,0.0,1.0,1.0,0,4,38.0,1,4,2,3,2,1,1,2,4,4,4,2,5,5,2,3.0,0.0,4,1,4,4,1,1,2,5,2,4,4,3,4,4,5,4,5,4,4,4,4,3,3,4,3,2,4,4,7,4,10,4,5,6,2,1,3
30,4048.0,4.21357,80,2238,648,1137,5,0,302,0,0,0,5,0,0,83.3537,83.3537,80.0466,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,41.0,3,4,1,2,2,2,2,1,4,3,3,2,2,2,1,4.0,,2,2,3,3,1,2,2,4,3,2,5,1,5,3,3,4,4,2,1,6,3,4,3,2,2,5,3,8,15,5,7,4,5,1,3,2,6
31,3160.0,1.25135,35,1345,921,541,5,0,607,0,5,5,0,0,0,18.691,0.0,0.0,0.0,18.691,0.0,0.0,0.0,1.0,0.0,2,1,58.0,1,5,1,2,2,3,2,2,5,2,2,2,3,3,2,1.0,0.0,5,5,5,5,1,1,1,5,3,4,5,2,3,5,5,5,5,5,4,8,4,8,3,3,2,5,5,10,7,1,4,3,5,4,1,2,6
32,139.0,0.63747,0,0,0,0,139,0,0,0,139,139,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,55.0,4,4,2,2,2,2,2,1,2,3,3,2,4,3,1,,,5,5,5,5,5,1,1,2,1,3,4,1,3,1,4,5,5,5,3,1,5,1,1,5,3,1,3,1,1,8,10,2,5,6,3,1,4
33,1931.0,0.44482,20,1797,9,125,0,0,220,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,52.0,1,4,3,2,1,1,1,2,4,4,3,3,4,4,1,4.0,,5,5,5,5,1,3,3,4,4,3,5,2,4,3,3,3,4,4,2,5,3,7,2,2,2,2,3,11,7,1,1,1,4,5,6,2,3
34,2341.0,1.56816,80,1057,569,694,8,0,204,0,8,0,0,8,0,21.7035,21.7035,20.4356,0.6082,0.0,0.0,0.0,0.0,1.0,1.0,0,4,64.0,2,5,2,3,2,2,1,2,4,4,4,3,3,4,2,4.0,1.0,2,3,5,2,1,1,3,3,2,3,4,4,4,3,4,3,4,5,5,7,4,6,4,1,1,1,3,4,11,6,10,4,6,5,2,1,3
35,1896.0,0.87377,42,1479,120,235,62,0,761,0,62,62,125,0,0,4.2907,4.2907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4,,1,4,3,3,3,3,1,3,4,2,2,1,3,3,2,2.0,0.0,5,3,4,4,1,1,2,4,3,4,4,4,4,1,2,2,4,4,3,5,4,4,3,3,2,3,2,2,1,7,2,1,3,4,6,2,5
36,2237.0,1.22565,52,1291,117,817,0,0,651,0,0,0,0,0,0,13.2412,13.2412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,45.0,1,4,2,2,2,1,2,2,3,2,4,4,4,4,2,3.0,1.0,5,3,5,4,2,1,1,4,1,3,5,1,4,3,4,2,3,5,1,7,3,7,1,2,2,2,4,4,15,1,6,4,6,5,3,1,2
37,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,3,,2,5,1,2,1,1,2,3,4,3,4,4,4,2,1,4.0,,1,4,3,2,1,3,1,5,3,3,5,3,4,3,4,4,4,2,3,1,5,1,2,4,2,3,2,1,1,1,4,4,6,5,3,2,1
38,3549.0,3.62237,101,1388,1045,1047,59,0,169,0,59,59,15,0,0,68.0029,67.7029,58.7781,0.0,0.0,0.3,0.0,0.3,1.0,0.0,0,2,50.0,4,5,3,3,3,3,3,3,2,4,4,4,4,5,2,,,5,5,5,5,5,1,1,4,4,4,4,5,4,2,5,1,5,5,4,10,4,9,4,4,3,5,5,1,1,2,1,3,5,6,1,2,4
39,1967.0,1.66962,73,801,255,806,95,0,338,0,95,95,0,0,0,32.553,31.503,0.0,26.4027,1.05,0.0,0.0,0.0,1.0,0.0,0,0,47.0,1,4,3,2,1,1,1,2,4,2,4,3,4,3,2,,0.0,1,5,5,5,1,1,1,4,4,4,5,2,3,1,4,4,5,3,3,3,3,2,2,4,1,1,3,15,15,7,3,2,5,6,1,4,3
40,663.0,0.62746,2,645,0,18,0,0,9,0,160,0,0,0,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,49.0,1,4,2,3,1,2,2,2,2,2,4,4,4,4,2,3.0,1.0,5,5,5,5,1,1,1,3,3,3,4,3,4,2,3,4,2,4,4,3,5,7,1,4,2,2,3,7,14,2,5,1,5,2,3,6,4
41,2039.0,0.91346,52,1081,411,547,0,0,839,0,0,0,112,0,0,15.7363,14.1455,0.0,8.1096,1.5908,0.0,0.0,0.0,1.0,0.0,0,4,51.0,1,4,1,2,1,2,3,2,4,3,5,1,2,2,2,3.0,,5,1,5,5,1,2,3,5,3,4,5,3,3,5,4,5,4,5,2,6,2,2,4,2,1,1,4,10,15,8,2,2,6,5,1,4,3
42,4859.0,2.38069,59,3535,293,688,243,0,648,0,373,205,480,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,32.0,3,4,3,3,1,1,1,3,4,3,3,1,4,5,2,1.0,0.0,5,5,5,5,1,1,3,4,3,4,5,5,3,1,4,4,4,5,4,6,4,6,4,1,1,1,4,2,7,1,2,3,5,6,1,4,2
43,2334.0,0.73173,79,1829,157,314,34,0,264,0,18,0,7,11,23,2.145,0.2012,0.1315,0.0,1.5438,0.4,0.0,0.4,1.0,0.0,2,4,41.0,1,4,3,2,1,1,2,2,4,4,5,2,4,5,2,3.0,1.0,1,4,3,1,1,1,2,3,4,4,5,3,5,2,3,4,4,5,4,2,5,2,3,2,2,4,4,1,1,4,8,2,5,3,1,4,6
44,2851.0,2.43409,121,722,1481,594,0,0,629,0,0,0,0,0,0,64.3401,64.3401,0.4712,52.0958,0.0,0.0,0.0,0.0,1.0,0.0,0,0,54.0,1,5,1,2,1,1,2,2,4,2,4,2,1,2,2,2.0,0.0,5,3,4,2,1,3,3,3,4,2,5,2,4,2,2,4,3,4,3,6,4,4,3,2,2,1,2,15,15,8,6,2,4,3,1,6,5
45,4499.0,2.83468,100,691,1061,2700,0,0,800,0,12,0,12,0,0,59.6794,59.4794,0.4959,46.011,0.0,0.2,0.0,0.2,1.0,0.0,0,1,59.0,2,4,1,2,1,2,1,2,4,2,5,2,2,3,2,2.0,0.0,3,3,5,3,1,2,1,1,3,3,4,5,5,1,3,3,5,5,4,5,4,7,4,3,3,4,3,10,13,2,10,6,3,2,1,5,4
46,1145.0,0.91991,30,150,468,453,69,0,99,0,69,0,0,69,0,12.4377,9.6377,0.0,8.1863,2.8,0.0,0.0,0.0,1.0,1.0,0,1,65.0,1,4,1,3,2,2,2,2,4,4,4,3,4,5,2,3.0,0.0,1,2,5,3,1,1,1,4,2,4,4,2,4,4,4,3,4,5,4,3,4,2,3,3,2,2,4,5,1,4,10,3,5,6,2,1,4
47,2290.0,1.26645,52,1699,0,487,104,0,236,0,104,0,0,0,104,14.3235,12.2735,0.0,0.0,1.8,0.25,0.0,0.25,1.0,0.0,0,0,66.0,3,4,2,2,2,2,2,2,3,4,2,4,4,4,2,2.0,0.0,5,1,3,3,1,1,1,4,3,4,4,3,3,3,3,3,3,3,2,5,4,9,2,1,1,4,3,9,7,4,2,2,5,6,1,3,4
48,3834.0,1.84709,128,3212,0,493,129,0,2185,0,129,129,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,41.0,3,5,2,3,2,1,2,3,4,5,5,4,5,4,1,4.0,,5,4,5,5,1,1,2,4,3,2,3,4,2,4,5,4,3,5,2,8,4,6,3,4,3,4,5,8,9,6,10,5,4,1,6,2,3
49,1397.0,0.75905,15,903,122,203,115,0,483,0,115,115,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,57.0,1,4,1,2,2,2,2,3,3,2,3,2,3,4,2,3.0,1.0,5,4,5,5,2,1,1,4,2,4,4,3,3,2,3,3,3,4,3,6,4,6,2,4,2,2,3,8,5,4,4,2,3,4,6,1,5
50,1170.0,0.59958,43,931,0,211,28,0,19,0,28,28,0,0,0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.14,1.0,0.0,1,1,49.0,1,4,1,2,1,2,1,2,4,3,2,4,4,2,2,,0.0,5,5,5,5,1,2,1,4,2,3,4,1,4,3,4,4,4,4,3,7,4,7,2,2,1,1,4,5,12,4,2,2,5,3,1,4,6
51,2098.0,0.54051,29,1847,0,251,0,0,447,0,0,0,0,0,0,1.85,0.0,0.0,0.0,1.75,0.1,0.0,0.1,1.0,0.0,2,2,56.0,2,4,1,1,2,1,2,2,3,3,3,3,4,2,2,2.0,0.0,5,5,5,4,1,2,1,3,4,3,3,2,3,2,2,4,3,4,2,5,5,9,1,2,3,3,3,8,4,2,10,3,5,6,1,2,4
52,1864.0,0.41008,10,1733,0,131,0,0,481,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,39.0,1,4,1,2,1,2,1,2,4,1,3,2,3,2,1,1.0,,5,5,5,5,1,2,1,5,3,2,5,1,3,3,3,3,5,3,3,1,4,7,1,3,2,4,4,4,1,2,10,4,5,3,1,2,6
53,2335.0,0.5611,1,2040,18,277,0,0,261,0,0,0,0,0,0,1.7555,1.7555,0.0,1.3589,0.0,0.0,0.0,0.0,1.0,0.0,0,2,60.0,1,4,1,3,1,2,2,2,4,4,4,4,2,4,1,4.0,,5,5,5,5,1,1,1,3,4,3,4,3,5,2,3,3,3,3,4,5,4,4,3,4,2,3,3,4,8,1,7,6,2,1,5,3,4
54,4561.0,7.30112,13,3964,0,233,287,8,129,0,1962,287,1683,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,,1,2,2,1,2,2,2,1,3,1,1,5,1,5,2,1.0,0.0,5,5,5,5,1,1,3,5,4,4,4,4,4,3,2,1,5,3,4,4,4,1,4,1,1,1,3,15,15,8,10,3,4,2,1,5,6
55,4237.0,3.17987,60,3332,355,402,148,0,113,0,148,148,168,0,0,22.9167,22.9167,19.5151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,39.0,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,3.0,,5,2,3,2,1,1,3,1,4,4,5,1,4,1,1,1,5,1,3,8,4,9,2,5,3,5,1,15,15,8,10,1,2,3,4,5,6
56,2037.0,1.77363,46,1099,360,364,111,0,206,0,111,102,0,9,0,25.7481,25.6981,18.6466,0.0,0.0,0.05,0.0,0.05,1.0,0.0,0,0,58.0,2,4,1,2,1,2,2,2,3,3,2,1,2,3,2,1.0,0.0,1,1,4,4,1,1,1,5,4,4,5,4,3,1,2,3,4,3,4,5,5,3,3,3,1,1,2,8,8,5,2,2,6,5,3,1,4
57,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,3,,1,3,1,2,2,1,1,1,3,3,2,3,4,2,1,3.0,,5,4,5,3,3,1,2,3,3,5,4,2,4,3,4,4,4,4,3,5,4,4,2,3,2,4,4,5,12,2,1,5,4,3,2,1,6
58,2028.0,1.19133,28,1184,502,342,0,0,133,0,0,0,0,0,0,18.7982,18.2882,17.4685,0.0,0.51,0.0,0.0,0.0,1.0,0.0,0,2,59.0,1,4,1,1,1,1,1,1,4,5,3,2,3,2,2,4.0,1.0,1,1,1,2,1,1,1,3,3,3,4,2,2,3,3,3,3,3,3,4,2,1,4,2,2,3,3,14,14,7,5,6,1,5,2,3,4
59,2836.0,3.075,29,1542,255,758,247,0,427,0,277,218,432,0,29,24.5508,24.5508,0.0,19.4192,0.0,0.0,0.0,0.0,1.0,0.0,0,4,29.0,2,4,3,2,2,2,2,2,4,4,4,1,2,5,2,1.0,0.0,3,2,2,2,2,2,4,3,3,4,4,3,4,2,4,4,3,4,4,5,4,2,4,2,3,4,4,6,5,3,3,1,6,3,2,4,5
60,4218.0,3.83362,16,2226,1663,329,0,0,159,0,0,0,0,0,0,73.963,73.623,70.2384,0.0,0.34,0.0,0.0,0.0,1.0,0.0,0,1,38.0,1,5,3,3,2,3,1,3,5,3,4,1,4,2,2,1.0,0.0,5,3,5,5,2,2,1,3,3,2,5,2,4,2,2,4,4,1,2,7,3,5,4,1,1,1,3,15,15,8,1,6,5,1,4,2,3
61,4829.0,3.32753,105,3248,379,425,5,0,358,0,300,0,10,5,285,39.0264,38.6764,16.9534,0.0,0.35,0.0,0.0,0.0,1.0,0.0,0,1,46.0,2,4,2,2,1,2,1,2,4,3,3,2,4,4,2,1.0,0.0,2,1,4,3,1,1,1,3,3,4,4,4,3,4,5,4,3,4,4,6,4,4,4,4,5,5,3,7,15,7,4,1,5,6,2,3,4
62,1713.0,2.61312,8,1075,0,112,520,0,11,0,520,520,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0,52.0,2,2,2,2,2,1,2,3,1,2,1,1,1,5,2,1.0,1.0,5,5,5,5,1,1,1,4,4,3,5,5,5,4,2,3,5,5,4,8,5,9,3,1,1,1,1,12,12,8,2,3,6,4,1,2,5
63,2180.0,3.00159,82,1226,326,582,0,0,73,0,448,0,448,0,0,26.2511,0.0,0.0,0.0,2.2511,24.0,0.0,24.0,1.0,1.0,0,0,,4,4,2,3,2,1,1,2,4,5,5,3,4,4,1,4.0,,4,4,4,2,1,1,2,4,3,3,4,4,2,5,4,3,5,5,4,7,5,5,4,4,3,4,5,10,10,7,9,3,5,4,1,2,6
64,2588.0,2.76856,23,1185,645,591,155,0,111,0,155,155,0,0,0,43.8572,43.8572,41.5151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,47.0,2,4,2,3,2,3,2,3,4,3,3,2,3,3,2,2.0,1.0,1,2,3,4,1,1,1,5,5,3,5,5,3,4,3,3,4,4,4,7,4,5,4,3,2,4,3,6,4,4,1,3,5,2,1,4,6
